,h3,verzilting,bodemdaling,wateroverlast,boerenlandvogels,peilgebieden
469,891969432dbffff,0,0,0,1,0
470,89196941a6bffff,0,0,0,0,0
471,89196949d2bffff,0,1,1,1,0
472,8919694f5a7ffff,0,1,0,1,0
473,89196948c1bffff,0,1,0,0,0
474,89196b86953ffff,0,0,0,0,0
475,89196b869a7ffff,1,0,0,1,0
476,8919694a4b7ffff,0,0,0,0,0
477,8919694ae4fffff,0,1,0,1,0
478,89196b86943ffff,0,0,0,0,0
479,8919694a1cfffff,0,1,1,0,0
480,8919694b383ffff,0,0,0,0,0
481,89196948037ffff,0,0,0,1,0
482,89196948897ffff,0,0,1,1,0
483,8919694a0c3ffff,1,1,0,0,0
484,89196b869cbffff,0,0,0,0,0
485,89196949ca7ffff,0,1,0,1,0
486,89196958b2bffff,0,0,0,0,0
487,8919694acd3ffff,1,0,0,0,0
488,8919694a8a7ffff,0,0,0,0,0
489,891969494c7ffff,0,0,0,0,0
490,89196948bcbffff,0,0,0,0,0
491,89196948a23ffff,1,0,1,0,0
492,8919694a66bffff,0,1,1,0,0
493,89196bb2067ffff,0,0,0,0,0
494,89196948607ffff,0,0,0,0,1
495,8919694ae93ffff,0,0,0,1,0
496,8919694f537ffff,0,1,0,0,0
497,89196949a13ffff,0,0,0,1,0
498,89196949a93ffff,0,1,0,1,0
499,89196bb254fffff,0,0,0,0,0
500,89196b869dbffff,0,0,0,0,0
501,8919694ac2fffff,0,0,0,0,0
502,89196bb3007ffff,0,0,0,0,0
503,8919694a847ffff,0,0,0,0,0
504,89196bb3057ffff,0,0,0,0,0
505,8919694b3afffff,0,0,0,0,0
506,8919694ab03ffff,0,1,0,0,0
507,89196949987ffff,0,0,0,1,0
508,8919694a1a7ffff,0,0,0,0,0
509,8919694a58bffff,0,0,0,0,0
510,89196b86b5bffff,0,0,0,0,0
511,8919694aa0fffff,0,0,0,0,0
512,8919695892fffff,0,0,0,0,0
513,89196bb2467ffff,0,0,0,0,0
514,89196949a9bffff,0,0,1,1,0
515,89196949013ffff,0,0,0,0,0
516,89196b86b3bffff,0,0,0,0,0
517,891969589d3ffff,0,0,0,1,0
518,8919694d697ffff,0,0,0,0,0
519,891969482b3ffff,0,0,0,0,0
520,89196941a2fffff,0,0,0,0,0
521,891969481d7ffff,0,0,1,1,0
522,89196948e97ffff,0,1,0,1,0
523,8919694a31bffff,0,1,0,1,0
524,891969486d3ffff,0,0,0,0,0
525,89196949acfffff,0,0,0,1,0
526,89196948a13ffff,1,0,0,0,0
527,8919694b01bffff,0,0,0,0,0
528,89196bb2343ffff,0,0,0,0,0
529,89196948cbbffff,0,1,0,0,0
530,8919694a107ffff,0,0,0,0,0
531,8919694f58bffff,0,0,0,1,0
532,89196b86857ffff,0,0,1,0,0
533,8919694a3afffff,0,1,1,1,0
534,8919694ac77ffff,0,0,0,0,0
535,8919694865bffff,0,0,0,0,0
536,89196949ec7ffff,0,0,1,0,0
537,89196948aa3ffff,0,0,0,0,0
538,89196b848b3ffff,0,0,0,0,0
539,8919694f427ffff,0,1,0,1,0
540,8919694a97bffff,0,0,0,0,0
541,89196949893ffff,0,1,1,1,0
542,8919694a66fffff,0,1,1,1,0
543,8919694aabbffff,0,0,1,0,0
544,8919694b26fffff,0,0,0,0,0
545,89196941347ffff,0,0,0,1,0
546,89196949a63ffff,1,0,0,1,0
547,8919694f513ffff,0,1,0,1,0
548,89196b868bbffff,0,0,0,0,0
549,89196bb2007ffff,0,0,0,0,0
550,891969492b7ffff,1,0,1,1,0
551,89196949d33ffff,0,1,0,1,0
552,89196943277ffff,0,0,0,0,0
553,89196959b33ffff,0,0,0,0,0
554,89196948017ffff,0,0,0,1,0
555,8919694904bffff,1,0,0,0,0
556,8919694916bffff,0,0,0,0,0
557,89196941613ffff,0,0,0,0,0
558,891969495c3ffff,0,0,0,0,0
559,8919694b317ffff,0,0,0,0,0
560,8919694850fffff,0,0,0,1,0
561,89196948483ffff,0,1,0,0,0
562,8919694b12fffff,0,0,0,0,0
563,89196948537ffff,0,0,1,1,0
564,89196958da3ffff,0,0,0,1,0
565,89196949c4bffff,0,1,0,1,0
566,89196bb25d3ffff,0,0,0,0,0
567,89196948c67ffff,0,0,0,1,0
568,89196949ad7ffff,0,0,0,1,0
569,89196949e1bffff,0,0,1,0,0
